"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that the automation page loads successfully","5420","test_page_loads_successfully[chromium]","tests","Wed May 06 03:09:04 UTC 2026","passed","Wed May 06 03:09:10 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that essential page elements are present","738","test_page_has_essential_elements[firefox]","tests","Wed May 06 03:05:34 UTC 2026","passed","Wed May 06 03:05:34 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Landing Page","1529","test_navigate_to_fake_landing_page[firefox]","tests","Wed May 06 03:05:46 UTC 2026","passed","Wed May 06 03:05:47 UTC 2026","TestNavigationLinks","test_regression","",""
"Test navigation to Fake Pricing Page","3433","test_navigate_to_fake_pricing_page[webkit]","tests","Wed May 06 03:06:00 UTC 2026","passed","Wed May 06 03:06:03 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that navigation links are visible","991","test_navigation_links_are_visible[webkit]","tests","Wed May 06 03:05:50 UTC 2026","passed","Wed May 06 03:05:51 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that navigation links are visible","438","test_navigation_links_are_visible[chromium]","tests","Wed May 06 03:09:11 UTC 2026","passed","Wed May 06 03:09:11 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Pricing Page","2835","test_navigate_to_fake_pricing_page[chromium]","tests","Wed May 06 03:09:17 UTC 2026","passed","Wed May 06 03:09:19 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that all practice links are visible","536","test_all_practice_links_visible[firefox]","tests","Wed May 06 03:05:51 UTC 2026","passed","Wed May 06 03:05:51 UTC 2026","TestPageElements","test_regression","",""
"Test that all practice links are visible","575","test_all_practice_links_visible[chromium]","tests","Wed May 06 03:09:20 UTC 2026","passed","Wed May 06 03:09:20 UTC 2026","TestPageElements","test_regression","",""
"Test that navigation links are visible","666","test_navigation_links_are_visible[firefox]","tests","Wed May 06 03:05:35 UTC 2026","passed","Wed May 06 03:05:35 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that essential page elements are present","725","test_page_has_essential_elements[chromium]","tests","Wed May 06 03:09:10 UTC 2026","passed","Wed May 06 03:09:11 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are visible","474","test_social_icons_visible[chromium]","tests","Wed May 06 03:09:20 UTC 2026","passed","Wed May 06 03:09:21 UTC 2026","TestPageElements","test_regression","",""
